5.8383 	INFO 	Loaded monitor calibration from ['2024_08_09 00:53']
6.1512 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f885869cb80>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f885869ca90>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f8858a72730>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1440,  900]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.1512 	EXP 	window1: backgroundImage = ''
6.1513 	EXP 	window1: backgroundFit = 'contain'
6.1672 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1697 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1718 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1747 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1776 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1788 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1807 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1835 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1840 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1845 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1867 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1889 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1908 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1928 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1944 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1967 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1986 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.1994 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.2005 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.2036 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.2043 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.2048 	DEBUG 	Uploading Texture Font fontname to graphics card
6.2074 	DEBUG 	Upload of Texture Font fontname complete
6.2205 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.2234 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.2263 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
6.2268 	DEBUG 	Uploading Texture Font fontname to graphics card
6.2277 	DEBUG 	Upload of Texture Font fontname complete
6.2310 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.2311 	EXP 	window1: recordFrameIntervals = False
6.4344 	EXP 	window1: recordFrameIntervals = True
6.6184 	EXP 	Screen (0) actual frame rate measured at 59.93Hz
6.6185 	EXP 	window1: recordFrameIntervals = False
9.5170 	INFO 	keyboard.Keyboard is using iohub backend.
9.5171 	INFO 	keyboard.Keyboard is using iohub backend.
9.5673 	EXP 	intentional_bonding: status = STARTED
